n,time1,time2,time3
1000,4.1418,1.4105,1.248
1400,9.5787,2.8142,2.4906
1800,17.3634,4.9996,4.2141
2200,28.6128,6.6813,6.6478
2600,36.5009,10.4959,9.5105
3000,59.4442,14.1925,11.2569
