n,time1,time2,time3
100,0.0164,0.0162,0.0137
200,0.068,0.0599,0.0521
300,0.2254,0.1968,0.1576
400,0.4201,0.3125,0.2512
500,0.7413,0.4786,0.322
600,1.123,0.5204,0.4686
700,1.1311,0.6847,0.6285
800,2.4285,0.9194,0.8141
900,3.5851,1.1548,1.0558
